web-scraper-order,web-scraper-start-url,Name,Rating,Comment
1609384598-103,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amazon Customer,",5,"Really happy with the purchase. But 2x zoom missing does make a little difference. Performance, Display, camera and battery are on point and that what matters the most to me. I was planning on buying the pro model but this year it was insanely expensive. So Bought this and saved some money for decent accessories. The value for money is great for the 128gb version."
1609384598-5,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amazon Customer,",5,Loving
1609384598-87,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amazon Customer,",4,"Sold kidney bought this, now not feeling well but the number of days I am alive with one kidney will enjoy using this phone. Guys be careful if you rich it   s ok else sell something else but not kidney it hurts"
1609384598-82,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amazon Customer,",5,It's awesome iPhone
1609384598-64,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amazon Customer,",5,"Screen size bit small.....otherwise fantastic display, fantastic sound and masterpiece             .....but tim cook could have given charger and earphone"
1609384598-66,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Ambuj Agarwal,",5,Amazing Phone with zabardast performance.nI’m loving it.
1609384598-24,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By AMIT  PRAKASH,",5,Excellent one !
1609384598-122,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amit Kumar,",5,"I am writing this after a week of my usage with this iPhone 12. I have had the X before and OnePlus 6T as well.Overall experience of switching to iOS again is so good. The Interface, the speed, smoothness, camera, support, and everything is so well crafter.I   ll be talking about the pros and cons with respect to the apple standards of course.Pros:1. The design is absolutely wonderful, its very very light weight and premium feeling phone with vintage boxy look.2. The speed, the performance.3. Camera of course. The normal picture comes out pretty good, they don   t usually need any professional touch.4. Battery life - I   ll talk about the battery life in day to day life instead of nerdy Screen On Time. I am a doctor and usually don   t play much games on this but I surf web a lot, youtube videos, social media and a lot of WhatsApp and sometimes heavy use for 10% of the time. It can get through one day pretty easily with around 8-9 hr Screen on time, 10hr Stand by time, so you can relate now. Don   t believe that it has bad battery, it has a pretty good battery.ConsNothing much until now.The back of the phone is fingerprint magnet, attracts a lot of them.Another concern was the charging adapter which is not provided in the box."
1609384598-65,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By amit,",5,best phone of 2020 for sure.combine it with the apple 20 w adapter and it will give 0 to 100 in less than 50 mins
1609384598-139,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Anil V Oommen,",3,Worst battery performance.Iphone 11 is far better den this..In 4 hour battery will come down from 100 to 15 percent.Please dont buy this product at this price.
1609384598-105,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By annu sharma,",5,Value for money..
1609384598-110,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Anurag,",5,Just great! Initially heating issue with it but I learnt that it   s due to initial setup process! Now it   s just a monster!
1609384598-100,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Aradhana Hegde,",5,Beautiful..
1609384598-132,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Arjun Rana,",5,The phone feels amazing. By far the best design by apple and all the features are top notch but little over priced otherwise it’s awesome.
1609384598-21,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Arjun Soota,",1,serious battery drain on iphone 12
1609384598-7,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Arunava kumar Mukhopadhyay,",5,Great phone. But its costlier. Camera is best part. Battery life is great. Very light to hold. I love iphone.
1609384598-61,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Ashish  Pradhan,",5,Looks great !!
1609384598-129,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Atulya Nagarsenkar,",5,Your browser does not support HTML5 video.                  Another beauty from Apple. I was upgraded from iPhone X and it was great experience with all the latest specs and flawlessly smooth. Thanks to all new A14 Bionic chip.Build quality was great as always from Apple.Phone feels light on hands due to aluminium body. I chose Blue colour because wanted to go for different colour than routine Black and white iPhones so initially I was bit skeptical but after seeing the phone in person I   m happy with the blue colour      not bad at all and not too flashy   Grip and feel perfect. Phone comes with iOS 14.1. Camera quality was excellent and sufficient  as a normal user.If you are from iOS ecosystem nothing will go wrong here.There is nothing to question about the quality and interface from Apple ( it   s my personal opinion as a long time apple user)As you all know iPhone 12 won   t comes with earphones and charging brick( adapter)I bought separately 20w apple adapter from new Apple India online store for Rs.1900I don   t judge here apple because of accessories removal and the price tag. I hope apple can justify this.I only hope and wanted to see so badly Made in India IPhones so that we all can enjoy lower priced ( at least a better priced) iPhones in the future.A big thanks to Appario Retail Pvt. Ltd and Amazon for delivering genuine iPhone as always in perfect condition. Delivered way before the promised date.Thank you Apple IndiaThank you Appario Retail Pvt. Ltd.Thank you Amazon India.( Note: charger brick was shown in my video was bought myself from Apple India online store because it won   t comes with the phone)
1609384598-155,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Brijesh  KB,",5,"Fees like iPhone 5 has grown up to be an adult. 8 years of iPhone 5, this phone is a beast. Amazing build quality, OLED display makes it a charm. The camera quality is also super. Highly recommend."
1609384598-149,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Chandra Bhushan,",5,Wohoo... Uphraded from Iphone 8 . Stylish It feels nice in hand.
1609384598-125,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Chetan Pamini,",4,wonderful 12 series light weight
1609384598-14,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Dharma Tej,",5,At first i was sceptic to switch from Android to IOS. Then after all the research and reviews I bought Iphone 12 and i can assure it is absolute pleasure to use IPhone and camera is just masterpiece. The right decision at right time.
1609384598-81,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Dhaval Doshi,",5,Simply Amazing
1609384598-146,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Dhiraj Wakchaure,",5,Bestest phone I have seen Ever....
1609384598-67,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Dipanjan Roychoudhary,",4,They called ceremic shield but it   s not for scratchless!!!!! I have so many scratches in my phone.......pls use tempered glass for protection of scratches!!!!!
1609384598-78,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Dipsmith Das,",5,One of the best smartphone ever.
1609384598-152,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Dr Umar Nazir,",5,Excellent phone but Costly!
1609384598-59,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By DT,",5,"Upgraded for iPhone XR. Battery lasts almost the same as XR but iPhone adapts as per usage over time so it will take time. Which anyways it lasts me for around 1.5 day with normal use and data services and location services always on. Do check the YouTube video to make necessary changes in settings for battery optimisation. Nothing beats the camera performance and let alone the video performance. Phone factor (rectangular edges) feels good to hold however even the MagSafe back cover when put on ruins the fun. Instead try buying a thin screen guard for back of the phone and tempered glass for the front glass as both front and back of the phone seem to be delicate and a costly affair when planning repairs. Overall the performance is great. The backup for Mini is pathetic, buy only if you have very minimal use of the phone. If a telephoto photography doesn   t seem to be on your agenda then this is a smart choice over the pro model."
1609384598-121,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Elliot,",5,iPhone 12 is a very premium phone. It is a nice liking phone and very comfortable  from iPhone 11 and others. So i am very excited to this product and very happy but Amazon delivery is very late.
1609384598-16,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Eshaan Mahajan,",5,Excellent product and at to delivery by flipkart thanks
1609384598-71,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Eunus Mondal,",1,Iphone stealing money with gimics and some fools are still paying them without thinking. No earphone no power adapter what a ridiculous move!! No value for money & pride symbol now!!
1609384598-48,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Faisal  Khan,",5,Excellent quality camera. Feels premium. Superior performance. Flipkart service as always best.
1609384598-43,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Faisal Hussain Khan,",5,"I was an avid android user for past 25 years. This move to IPhone 12 was a calculative yet bolder definitive move. Let   s look at the some of key pointers here what I saw - Stunning design, smooth app flow, battery life is optimal (best in my usage) and the camera is just bringing the life to all the captures you make. I am using Apple 20w charger which is insane at charging 20-25 percent in 7 mins. So, In 15 mins, you are having half the battery up. Love the border outlay of this beauty. It   s nearly not a week for me but I can boldly say,    The best switch one can make   . I know the price tag is always richer but then you are choosing a long term reliability. Kudos to Apple Inc and Amazon for amazing delivery in 2 days.*Please avoid playing Apple Arcade games as they would drain you battery like anything. In my best guess, It is not rightly optimised for it.*What I come to see is why Apple looked for environmental protection by removing charger and earphones. I guess it should come at a reasonable price then. It really put me off but then you know what the market player is serving."
1609384598-101,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By faisal Tai,",4,"Top notch performance, get it if you have budget and want a reliable Smartphone for long term.  Still apple need some improvement in display like high refresh rate, smaller notch or full screen display may be."
1609384598-104,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Faiz Mohammad,",5,"Moved to iPhone from Android since cupcake days and I’m loving it so far. Brilliant display, camera and performance. IOS is still a little behind Android in terms of features and shortcuts in my opinion but it’s very close. Still getting used to all the features of iOS. Per-ordered on the launch day and it arrived barely on time. Overall happy with the purchase."
1609384598-32,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",1,Defective product
1609384598-112,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,Best premium smartphone in the Indian market right now. Go for this rather than the pro version.
1609384598-19,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,Awesome as always. Started journey with iPhone5 and used all the models till now. This latest model is again awesome and fully loaded with features. Really love it.
1609384598-49,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,Worth money
1609384598-72,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,Best in class!!!
1609384598-46,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,Very nice mobile looks like a very good and very fast performance
1609384598-57,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,Very lovely phone
1609384598-95,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Flipkart Customer,",5,"Upgrade from 11 to 12,best performance ever and safe  delivery with Flipkart"
1609384598-23,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Gunjan Arora,",5,Amazing phone. Purchased white color. Love it❤️
1609384598-52,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Habibullah k.,",5,Best iOs phone if you have budget of 75k Amd  better than samsungs flaships mobile If uh want then just go for it
1609384598-53,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Hariom Verma,",5,Thanks
1609384598-17,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By harjinder singh,",5,Premium & nice look
1609384598-96,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Imran Sheriff,",5,Super duper hit
1609384598-4,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Irfan Ahmed,",5,"I got it from Apple online india, People who say battery life is not good they are just laying battery life is good for heavy user it will last full day, for gamers 5.5 to 6.5 hours on continuous uses. price is higher but everything good and well built and software experience is good, sound and display is excellent. normal 4g is 60 to 70 faster than any other phones. price is higher but its a great phone."
1609384598-47,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Jini Collection  Jini Collection,",5,Good look and Good camera
1609384598-119,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Junaid Masoodi,",5,Perfect one because iphone is iphone....
1609384598-117,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Kailash Patel,",5,My first iPhone I love it
1609384598-44,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Karanpal Singh,",5,My first ios device. Oh boy this is a great device. I am so glad that I made the switch. The only thing I miss is the fast refresh rate of android but it’s not as bad as it sounds due to fluidity of iosnnCameras are excellent but not as sharp as newer android phones with bigger megapixels. But the quality and color accuracy of pictures are great.nnBattery life is also good. It would run a day and charges upto 90 percent in an hour.nnThe display is gorgeous. One of the best.
1609384598-86,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Ketan Deodhar,",5,"iPhone 6S Plus 64GB -> iPhone 12 128GBnMy 2nd iPhone, upgraded after 5 years.nnGorgeous display, stunning new blue colour, excellent camera, best hardware-software combination, that’s how I would describe iPhone 12 as a package. 😊nnEven though my previous iPhone had a 5.5” display and this one has 6.1” display, its overall body size is much smaller. Had to get used to it initially 🙂nnOpening/closing/loading of apps is fast. No issues there. Video playback on this screen looks gorgeous. Took the 128GB variant, just so that i don’t have to backup to PC too often.nnBattery lasts a day, it drains a bit faster on weekdays when I use its Mobile hotspot for office work. No connectivity issues though.nnFew pics attached. Night shots look much better on iPhone 12.nnNo charging brick in the box. But works with my old iPhones charger/cable. I still ordered 20W fast charging brick separately from Apple site though. And it does charge pretty fast.nnFlipkart delivery: Had done pre booking on the day they made it available on Flipkart. Awesome discount and old phone buy back offered. Had initial promised delivery date of 1st Nov, but got delivered on 4th Nov. Am not complaining though as I still got it prior to 6-9th Nov delivery that Apple’s own website was showing for this blue coloured 128GB variant 😆 Flipkart packaging uses no plastic 👍👍"
1609384598-63,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Kong ratan,",5,"Okay I NEED TO CLEAR a few misconceptions about this phone because i am seeing a lot of negative reviews here which are not true, probably from IOS haters. I have been an android user since 2014 when I got my first phone, after many years i switched to Apple after complaining about their high prices  because i was disappointed with Samsung using Exynos processors for their flagship phones in India which causes heating, and Oneplus throwing one cheap model after another every six months.And trust me guys its amazing. The software is butter smooth, i might never go back to android again.  FIRST OF ALL - who said the battery life is bad? I got my phone at 70 percent charge at 2 pm and after 24 hours it was 20 percent EVEN AFTER I KEPT MY DATA PACK ON THE WHOLE TIME.SECONDLY- why are so many guys reviewing the phone on basis of the charger? everyone knows iphone 12 comes without an adapter. did you people not do your research before buying?THIRD - the 60 Hz thing does not matter at all, flipping screen is  real quick u wont even notice the difference from a 120 Hz in androidand lastly - the AI is so sharp, be it the camera which automatically detects low light or even the face recognition.overall this phone is worth the high price. i will definitely be using it for 4-5 years. a happy customer here"
1609384598-85,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Krupal,",5,Okkk so done with one kidney going to sell another one for power adapter and for case      and ofcourse value for kidney
1609384598-40,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Legendary,",5,"Gorgeous display, excellent camera quality and its worlds fastest phone, looks beautiful and feels premium in hand. The only downside is price in India. Lightning speed delivery with Amazon."
1609384598-33,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Mahabala,",5,"Pros:there are 1000s of blog for prosCons:Apple has to work to improve their battery lifeCharger ! Charger ! Charger ! If apple really cares about environment so much then they must deliver a phone once in 3 years. Or, give the users a usb c.Don   t rely on their screen advertising. Use a cover. Glass is still a glass and you can observe scratches after a month of usage.5g isn   t for India, still price in terms of dollars was same!"
1609384598-70,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Manash Choudhury,",5,Perfectness in every inch. Great battery backup and great display. Every thing is perfect. Green colour awesome for light colour lovers. Blue and red are too dark.
1609384598-127,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Maneesh kumar,",5,Excellent product
1609384598-77,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Manish,",5,amazing phone. best phone in the market
1609384598-106,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By moazzam sameer,",5,Great product
1609384598-9,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By moazzam sameer,",5,"When the iPhone 11 prices were announced, I was in a dilemma whether to go for the 11 or wait for 12. And since it was my first iPhone, I thought why not get the 12. The logic being: The phone will last for a couple of years (provided you don't drop it often), and if you are looking for a phone for a long time horizon, then go for the 12. This one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the future.All technical specs are really good, display is an OLED one, even visible in extreme sunlight. Build quality is miles apart, my brother uses a Samsung Galaxy Note 10+, and holding this one is way way out of the leagues of all the android phones. Processor and RAM are capable of even running multiple intensive applications, I had Adobe LightRoom, iMovie, and a couple of apps open, all to slide between them seamlessly. The trick here is that since apps are only made for a very few iPhones and iOS versions, these apps are hardware integrated, hence work better. A classic example is Instagram. Instagram does feel a bit more polished on the iPhone than android. FaceID even works when there's no light, so thats that. But it can't identify you with the mask, you're left to the PIN when you're in the outside.The Battery: Yes it has a smaller battery, yes with intensive use it will run out in a day, but if you are a bit prudent with it, it'll definitely last for more than a day. I use 4G in between, outdoor photography a bit, editing, email, Apple Music, Youtube, WhatsApp and Instagram. By the end of the day (7:00 PM) , I usually have 40 percent remaining.So yes, its an iPhone and yes its really something nice to hold and use daily."
1609384598-148,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Mohammadsahid mirza,",5,Excellent phone with excellent flipkart service
1609384598-136,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Mr. k  singh,",5,Same like the old classic iphone 5 lookBut now difference is only6.1 inch display or The A 14 bionic chipAnd oled Hd display
1609384598-153,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Mugdha Jyoti Nondi,",5,This is my first Apple product and obviously I was very excited before unboxing it. The phone feels very premium and truly goes with the brand. Each and every specification of the phone is worth the money. So just go ahead and purchase it without any second thought. I pre-ordered it and received the product on time. Thanks Flipkart for prompt service.
1609384598-22,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Narendra Kumar,",5,The Product is good and I am 100% satisfy but Bank charged me full Amount instead of NO Cost EMI for 6 MONTHS as I selected this option when I did the payment. kindly contact HDFC Bank and ask them why they are not providing the offer as they are showing on flipkart.com. this happed 2nd time with me. I am not going to buy again from Flipkar if this matter is not resolved.
1609384598-18,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Neeraj Kumar,",5,Ultra fast speed with a perfect camera and ultimate battery.  Full paisa wasool..
1609384598-15,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By nipam Limbachiya,",5,"I m actually not a fan of i phone but this time i phone 12  make me surprised its really really  really awesome worth of money,  slim and sexy phone ever 😍"
1609384598-10,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Paras,",5,"Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.AndiPhone in white color is legend."
1609384598-109,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Paras,",4,"I am writing this review after 10 days of use of iPhone 12. phone camera is excellent like DSLR ,very fast processor ,face ID feature looks great ,overall everything is fine but only thing which this phone having is heating issue. While charging this phone or after use of 15 to 20 minutes phone get heating up  Apple should look into this."
1609384598-2,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Paras,",4,All things are at its place.. giving it 4 star just because of not giving power adapter with the cell phone. with this huge amount of price we actually deserve a power adapter.
1609384598-11,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Paras,",5,Awesome photo and video quality.Performance is the top notch.as usual awesome iOS.
1609384598-102,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Poonam,",5,"This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.Been using for about 10 days now, and consistently giving around 7h of screen on time.The camera is just way too good. Espeecially the night mode impressed me a lot.Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.The phone is simple amazing."
1609384598-27,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By pranav thakrar,",5,"amazing, camara results is too good"
1609384598-84,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Prashant Kumar Gajendra,",5,It's the world's fastest and powerfull phone as we all know. So what would I comment more. Only thing is price point in India.. its very high... Performance Battery Camera Weight Height all perfect. Got a handy phone finally.
1609384598-124,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Prathmesh Bhor,",5,Awesome Phone! And my 1st iPhone 😅nPerformance is mind blowing and iOS isn’t that difficult.nnApple should have provided fast charging brick included in the box that’s the only problem.
1609384598-51,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Puneet Nanda,",5,Great looks and awesome in-hand feel
1609384598-60,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rahil Shaikh,",5,Everything good
1609384598-35,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rahul KASAUDHAN,",5,Amazing phone also battery backup
1609384598-37,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rahul mundhra,",5,"Very good product. I was using 6S plus till now. After using for one and half month, it   s so impressive and battery is the best. It comes whole day. Very fast and smooth. Nice design."
1609384598-97,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rahul Patil,",1,"One of the worst product..Heating issues in 1 day..Don't buy guys, Go for other brand.."
1609384598-99,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rahul Raj,",5,First time IOS user. Liked it a alot.
1609384598-34,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rahul Sidharthan,",5,"I want to say that battery backup of iPhone has been considerably improved. Everything is the best. If you're a average user who only indulge in social life and little bit of photography no need to go for Pro/ Pro Max, iPhone 12 will do the justice."
1609384598-36,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Raj Yadav,",5,Good
1609384598-92,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rajasekhar Namathoti,",4,Good mobile
1609384598-89,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rajesh Khurana,",5,Great product and must buy. Thank you Flipkart for timely delivery
1609384598-107,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rakesh Sharma,",5,Excellent phone.
1609384598-118,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rakeshbhai Gupta,",5,"Overall it looks good, coming from XR it looks a good upgrade for me. Design is    back to basics    which is compelling. I loved the fast response among other things."
1609384598-88,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rashmi,",5,Its osum phone.!
1609384598-28,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By rAtAn hattlage,",4,I am using 1st time and I satisfied with this product nLet’s see after 3 months
1609384598-79,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Ronaldo,",5,Good but not good as iPhone 12 Pro  nice flagship nice phone feels like holding iPhone 4+ iPhone 11 mixed
1609384598-154,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Rushikesh Kadam,",5,"It’s a bomb phone aptly designed light weight, security at its best, camera is good  in conclusive it’s a good option upon pro if ur on a budget as it provides by far the same experience except the midst and telephoto even the charge is good than pro.nLook at the click I rest my case."
1609384598-137,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By S.Siva Ram Kris,",5,"iPhone 12 is the golden mean in all the iPhone 12 seriesBattery lasts for about a day.In Performance section, as usual, Apple is the best.It   s OLED display is mind blowing.Even though it is 5G compatible, 4G also works better.Don   t buy 64 GB as it will choke you much earlier as people tend to use iPhones for long times."
1609384598-143,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By S.Siva Ram Kris,",1,"After costing a huge amount iPhone 12 will not support 5G mmWave in India, which is the fastest 5G. So, before purchasing be cautious about the fact.."
1609384598-140,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By S.Siva Ram Kris,",5,Good one first time using
1609384598-128,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By S.Siva Ram Kris,",4,Nice
1609384598-13,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By S.Siva Ram Kris,",5,"got it on my birthday, Thanks Jejus :D"
1609384598-138,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By S.Siva Ram Kris,",5,IPhone 12 awesome
1609384598-62,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Sabyasachi Kuila,",5,Flipkart service at it's best and amazing iphone 12
1609384598-38,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Saffirul Haque,",5,Waste of money
